cleaned_region_x,year,perc_im
comunidad valenciana,1996,112.11528167494063
comunidad valenciana,2000,13.144173138550965
comunidad valenciana,2004,57.219444805947596
comunidad valenciana,2008,68.04775586134014
comunidad valenciana,2011,114.33620543444897
comunidad valenciana,2015,60.141609165901755
comunidad valenciana,2016,65.82731655997016
comunidad valenciana,2019,260.83435899258853
corse,1993,55.86166671093758
corse,1997,114.2324286352896
corse,2002,52.74799191081845
corse,2007,97.92858509823935
corse,2012,338.0421904984084
corse,2017,185.69960597460533
emilia romagna,1992,18.398211797894746
emilia romagna,1994,17.548590801862673
emilia romagna,1996,99.722499632454
emilia romagna,2001,0.29323189659559307
emilia romagna,2006,141.47049287297543
emilia romagna,2008,35.39579340804474
emilia romagna,2013,4.05247475075516
emilia romagna,2018,191.81907363099424
extremadura,1993,61.31069179852072
extremadura,1996,118.15829523127229
extremadura,2000,12.986454868937324
extremadura,2004,54.04312021772275
extremadura,2008,55.14197094230914
extremadura,2011,117.35858179595151
extremadura,2015,77.38333016233
extremadura,2016,78.09470529101549
extremadura,2019,291.5525483780793
galicia,1993,56.711106699664846
galicia,1996,113.7779417846737
galicia,2000,12.718502506848107
galicia,2004,56.604488931823326
galicia,2008,58.66555205688494
galicia,2011,112.25466544638729
galicia,2015,70.01378316839353
galicia,2016,75.97183712392004
galicia,2019,335.15057510916387
hamburg,1990,0
hamburg,1994,12.990483277831743
hamburg,1998,85.50645867948212
hamburg,2002,119.73477486019387
hamburg,2005,76.5343157753526
hamburg,2009,8.744513773180827
hamburg,2013,71.03114835227632
hamburg,2017,191.77239559114085
illes balears,1993,55.16123978874852
illes balears,1996,111.5729902737354
illes balears,2000,13.13185173719727
illes balears,2004,55.67987585563096
illes balears,2008,57.89673199877738
illes balears,2011,108.43200422907015
illes balears,2015,63.625127182983874
illes balears,2016,64.89091315767611
illes balears,2019,256.3767477409113
la rioja,1993,57.84855818352727
la rioja,1996,119.0694449711666
la rioja,2000,13.598348509038171
la rioja,2004,60.73376289903241
la rioja,2008,65.29439113650648
la rioja,2011,119.21524331237585
la rioja,2015,78.61452677261545
la rioja,2016,78.68643154025145
la rioja,2019,366.96994491163775
lazio,1992,27.986243699651908
lazio,1994,11.47180290202775
lazio,1996,62.27896819293365
lazio,2001,0.22859079133234583
lazio,2006,137.34445156309124
lazio,2008,7.85119592048778
lazio,2013,6.800173656463075
lazio,2018,183.01831424408846
liguria,1992,17.938443106579925
liguria,1994,26.999180730268755
liguria,1996,73.271071909298
liguria,2001,0.2966192830443963
liguria,2006,157.20876890387353
liguria,2008,31.163463294464155
liguria,2013,4.232999475659969
liguria,2018,190.58709282697563
limousin,1993,70.12466237073623
limousin,1997,116.95259684290272
limousin,2002,65.41893797468354
limousin,2007,181.19763220142562
limousin,2012,301.30669820476874
limousin,2017,396.15653871772435
lombardia,1992,14.671225446087252
lombardia,1994,42.954807085789426
lombardia,1996,53.758097518282526
lombardia,2001,0.37823182997323185
lombardia,2006,196.19263739095157
lombardia,2008,86.03009293959164
lombardia,2013,4.352848593233926
lombardia,2018,246.4426841786659
lorraine,1993,160.85100279843942
lorraine,1997,299.5259420291242
lorraine,2002,136.65307802681914
lorraine,2007,203.81717681193464
lorraine,2012,437.1697008964885
lorraine,2017,428.3499735290264
marche,1992,22.82729270610596
marche,1994,10.856818040119967
marche,1996,75.67530350903226
marche,2001,0.30060083082074496
marche,2006,137.34422694413345
marche,2008,17.883972362689633
marche,2013,6.517054306530566
marche,2018,185.40400811260616
molise,1992,15.347390983321752
molise,1994,7.973336621821006
molise,1996,45.51287397922159
molise,2001,1.0955985241315307
molise,2006,158.10357837917232
molise,2008,9.399186502103625
molise,2013,11.333571554183438
molise,2018,103.21582027064893
normandie,1993,119.99442867731325
normandie,1997,835.4294913604355
normandie,2002,404.8254978080879
normandie,2007,656.6237520669079
normandie,2012,1402.1056121546515
normandie,2017,1573.7168973576358
pais vasco,1993,28.072226455203676
pais vasco,1996,55.47360518079641
pais vasco,2000,8.827338431953661
pais vasco,2004,23.11809131471959
pais vasco,2008,24.364169394245216
pais vasco,2011,47.462451022618446
pais vasco,2015,34.00354167241987
pais vasco,2016,26.585298548749435
pais vasco,2019,98.8769432327613
pas de calais,1993,164.55549487547088
pas de calais,1997,262.859285277883
pas de calais,2002,150.41986148972828
pas de calais,2007,211.88078526118255
pas de calais,2012,368.6580034231889
pas de calais,2017,492.8715301345453
pays de la loire,1993,103.32385255701979
pays de la loire,1997,158.30111774547038
pays de la loire,2002,71.6798135489405
pays de la loire,2007,157.25157197830137
pays de la loire,2012,302.942098211124
pays de la loire,2017,356.81542248425825
picardie,1993,168.74630243175548
picardie,1997,296.39946762670866
picardie,2002,158.72971857884994
picardie,2007,198.02753692334764
picardie,2012,412.62826568882
picardie,2017,495.63770894107074
piemonte,1992,18.01501860564344
piemonte,1994,34.182249017020524
piemonte,1996,53.76935829312915
piemonte,2001,0.33066040762206206
piemonte,2006,164.98832872222232
piemonte,2008,54.07126171824222
piemonte,2013,5.97383731345081
piemonte,2018,207.82099631355013
principado de asturia,1993,55.01538625524492
principado de asturia,1996,109.61318339067054
principado de asturia,2000,12.21130737750417
principado de asturia,2004,54.20869216190357
principado de asturia,2008,54.86428624469489
principado de asturia,2011,85.49954010857634
principado de asturia,2015,67.16108500477554
principado de asturia,2016,67.06996967340203
principado de asturia,2019,261.81564634636106
principado de asturias,1993,55.01538625524492
principado de asturias,1996,109.61318339067054
principado de asturias,2000,12.21130737750417
principado de asturias,2004,54.20869216190357
principado de asturias,2008,54.86428624469489
principado de asturias,2011,85.49954010857634
principado de asturias,2015,67.16108500477554
principado de asturias,2016,67.06996967340203
principado de asturias,2019,261.81564634636106
puglia,1992,25.089476862902995
puglia,1994,0
puglia,1996,55.954199599269685
puglia,2001,0.3996804340604584
puglia,2006,161.79568462596023
puglia,2008,12.877569626481968
puglia,2013,6.025863832989832
puglia,2018,94.83672039857763
region de murcia,1993,59.7427271983417
region de murcia,1996,121.50492130476877
region de murcia,2000,14.235608050809766
region de murcia,2004,67.175266729724
region de murcia,2008,80.71771289991605
region de murcia,2011,129.7244320710292
region de murcia,2015,80.39506728229134
region de murcia,2016,83.96687003846924
region de murcia,2019,291.1348156351882
saarland,1990,0
saarland,1994,15.523707413799015
saarland,1998,91.81132355409639
saarland,2002,120.47437967733788
saarland,2005,64.3547840372626
saarland,2009,7.408139296940258
saarland,2013,68.25245156106043
