region,year,avg_gini
Provence-Alpes-,2014,0.329
Provence-Alpes-,2015,0.343
Provence-Alpes-,2016,0.318
Provence-Alpes-,2017,0.326
Provence-Alpes-,2018,0.337
Provence-Côte d,1996,0.296
Provence-Côte d,1997,0.299
Provence-Côte d,1998,0.302
Provence-Côte d,1999,0.31
Provence-Côte d,2000,0.315
Provence-Côte d,2001,0.302
Rhône-Alpes,1996,0.312
Rhône-Alpes,1997,0.299
Rhône-Alpes,1998,0.296
Rhône-Alpes,1999,0.313
Rhône-Alpes,2000,0.308
Rhône-Alpes,2001,0.301
Rhône-Alpes,2002,0.294
Rhône-Alpes,2003,0.304
Rhône-Alpes,2004,0.325
Rhône-Alpes,2005,0.318
Rhône-Alpes,2006,0.321
Rhône-Alpes,2007,0.312
Rhône-Alpes,2008,0.303
Rhône-Alpes,2009,0.316
Rhône-Alpes,2010,0.324
Rhône-Alpes,2011,0.334
Rhône-Alpes,2012,0.33
Rhône-Alpes,2013,0.305
Rhône-Alpes,2014,0.319
Rhône-Alpes,2015,0.329
Rhône-Alpes,2016,0.322
Rhône-Alpes,2017,0.308
Rhône-Alpes,2018,0.316
